Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
11.08.;aufsteigend;5;14;21;28;32;42;ZZ;35;6er;               2;à;       1.761.322,30;5er + ZZ;               4;à;          39.930,60;5er;             178;à;             978,80;4er + ZZ;           1.766;à;              29,50;
11.08.;;;;;;;;;;4er;           7.041;à;              41,20;3er + ZZ;           9.247;à;              14,10;3er;         104.638;à;               5,00;ZZ;         281.657;à;               1,20;
14.08.;aufsteigend;1;6;7;20;28;35;ZZ;33;6er;               1;à;       1.000.000,00;5er + ZZ;JP;;          87.059,40;5er;              73;à;           1.301,00;4er + ZZ;             174;à;             163,70;
14.08.;;;;;;;;;;4er;           3.822;à;              41,40;3er + ZZ;           4.573;à;              15,50;3er;          61.435;à;               4,60;ZZ;         166.128;à;               1,20;
18.08.;aufsteigend;1;7;8;19;24;39;ZZ;9;6er;JP;;         672.686,60;5er + ZZ;               6;à;          29.925,60;5er;              91;à;           1.108,80;4er + ZZ;             355;à;              85,20;
18.08.;;;;;;;;;;4er;           4.348;à;              38,60;3er + ZZ;           7.517;à;              10,00;3er;          66.609;à;               4,50;ZZ;         190.468;à;               1,20;
21.08.;aufsteigend;5;6;24;26;35;36;ZZ;2;6er;DJP;;       1.451.561,80;5er + ZZ;               2;à;          53.547,60;5er;              92;à;           1.269,90;4er + ZZ;             243;à;             144,20;
21.08.;;;;;;;;;;4er;           3.910;à;              49,80;3er + ZZ;           5.956;à;              14,70;3er;          67.746;à;               5,20;ZZ;         213.254;à;               1,20;
25.08.;aufsteigend;2;24;31;32;40;41;ZZ;25;6er;3JP;;       2.446.262,00;5er + ZZ;               2;à;          68.385,60;5er;              86;à;           1.734,90;4er + ZZ;             240;à;             186,50;
25.08.;;;;;;;;;;4er;           4.613;à;              53,90;3er + ZZ;           5.876;à;              19,00;3er;          77.849;à;               5,70;ZZ;         254.542;à;               1,20;
28.08.;aufsteigend;4;10;20;25;29;35;ZZ;32;6er;4JP;;       3.529.427,80;5er + ZZ;               4;à;          37.233,80;5er;             130;à;           1.249,80;4er + ZZ;             294;à;             165,70;
28.08.;;;;;;;;;;4er;           6.102;à;              44,30;3er + ZZ;           7.326;à;              16,60;3er;          96.831;à;               5,00;ZZ;         267.486;à;               1,20;
01.09.;aufsteigend;2;16;27;35;39;45;ZZ;5;6er;               1;à;       4.991.197,80;5er + ZZ;               3;à;          66.997,70;5er;             228;à;             961,60;4er + ZZ;             506;à;             129,90;
01.09.;;;;;;;;;;4er;           8.375;à;              43,60;3er + ZZ;          11.257;à;              14,60;3er;         128.565;à;               5,10;ZZ;         416.625;à;               1,20;
